 initial_phi	Omega_de
   0.100000E-09   0.739792E+00
   0.100999E-07   0.739792E+00
   0.200998E-07   0.739792E+00
   0.300997E-07   0.739792E+00
   0.400996E-07   0.739792E+00
   0.500995E-07   0.739792E+00
   0.600994E-07   0.739792E+00
   0.700993E-07   0.739792E+00
   0.800992E-07   0.739792E+00
   0.900991E-07   0.739792E+00
   0.100099E-06   0.739792E+00
   0.110099E-06   0.739792E+00
   0.120099E-06   0.739792E+00
   0.130099E-06   0.739792E+00
   0.140099E-06   0.739792E+00
   0.150099E-06   0.739792E+00
   0.160098E-06   0.739792E+00
   0.170098E-06   0.739792E+00
   0.180098E-06   0.739792E+00
   0.190098E-06   0.739792E+00
   0.200098E-06   0.739792E+00
   0.210098E-06   0.739792E+00
   0.220098E-06   0.739792E+00
   0.230098E-06   0.739792E+00
   0.240098E-06   0.739792E+00
   0.250097E-06   0.739792E+00
   0.260097E-06   0.739792E+00
   0.270097E-06   0.739792E+00
   0.280097E-06   0.739792E+00
   0.290097E-06   0.739792E+00
   0.300097E-06   0.739792E+00
   0.310097E-06   0.739792E+00
   0.320097E-06   0.739792E+00
   0.330097E-06   0.739792E+00
   0.340097E-06   0.739792E+00
   0.350097E-06   0.739792E+00
   0.360096E-06   0.739792E+00
   0.370096E-06   0.739792E+00
   0.380096E-06   0.739792E+00
   0.390096E-06   0.739792E+00
   0.400096E-06   0.739792E+00
   0.410096E-06   0.739792E+00
   0.420096E-06   0.739792E+00
   0.430096E-06   0.739792E+00
   0.440096E-06   0.739792E+00
   0.450096E-06   0.739792E+00
   0.460095E-06   0.739792E+00
   0.470095E-06   0.739792E+00
   0.480095E-06   0.739792E+00
   0.490095E-06   0.739792E+00
   0.500095E-06   0.739792E+00
   0.510095E-06   0.739792E+00
   0.520095E-06   0.739792E+00
   0.530095E-06   0.739792E+00
   0.540095E-06   0.739792E+00
   0.550095E-06   0.739792E+00
   0.560094E-06   0.739792E+00
   0.570094E-06   0.739792E+00
   0.580094E-06   0.739792E+00
   0.590094E-06   0.739792E+00
   0.600094E-06   0.739792E+00
   0.610094E-06   0.739792E+00
   0.620094E-06   0.739792E+00
   0.630094E-06   0.739792E+00
   0.640094E-06   0.739792E+00
   0.650093E-06   0.739792E+00
   0.660093E-06   0.739792E+00
   0.670093E-06   0.739792E+00
   0.680093E-06   0.739792E+00
   0.690093E-06   0.739792E+00
   0.700093E-06   0.739792E+00
   0.710093E-06   0.739792E+00
   0.720093E-06   0.739792E+00
   0.730093E-06   0.739792E+00
   0.740093E-06   0.739792E+00
   0.750092E-06   0.739792E+00
   0.760092E-06   0.739792E+00
   0.770092E-06   0.739792E+00
   0.780092E-06   0.739792E+00
   0.790092E-06   0.739792E+00
   0.800092E-06   0.739792E+00
   0.810092E-06   0.739792E+00
   0.820092E-06   0.739792E+00
   0.830092E-06   0.739792E+00
   0.840092E-06   0.739792E+00
   0.850091E-06   0.739792E+00
   0.860091E-06   0.739792E+00
   0.870091E-06   0.739792E+00
   0.880091E-06   0.739792E+00
   0.890091E-06   0.739792E+00
   0.900091E-06   0.739792E+00
   0.910091E-06   0.739792E+00
   0.920091E-06   0.739792E+00
   0.930091E-06   0.739792E+00
   0.940091E-06   0.739792E+00
   0.950090E-06   0.739792E+00
   0.960090E-06   0.739792E+00
   0.970090E-06   0.739792E+00
   0.980090E-06   0.739792E+00
   0.990090E-06   0.739792E+00
   0.100009E-05   0.739792E+00
   0.101009E-05   0.739792E+00
   0.102009E-05   0.739792E+00
   0.103009E-05   0.739792E+00
   0.104009E-05   0.739792E+00
   0.105009E-05   0.739792E+00
   0.106009E-05   0.739792E+00
   0.107009E-05   0.739792E+00
   0.108009E-05   0.739792E+00
   0.109009E-05   0.739792E+00
   0.110009E-05   0.739792E+00
   0.111009E-05   0.739792E+00
   0.112009E-05   0.739792E+00
   0.113009E-05   0.739792E+00
   0.114009E-05   0.739792E+00
   0.115009E-05   0.739792E+00
   0.116009E-05   0.739792E+00
   0.117009E-05   0.739792E+00
   0.118009E-05   0.739792E+00
   0.119009E-05   0.739792E+00
   0.120009E-05   0.739792E+00
   0.121009E-05   0.739792E+00
   0.122009E-05   0.739792E+00
   0.123009E-05   0.739792E+00
   0.124009E-05   0.739792E+00
   0.125009E-05   0.739792E+00
   0.126009E-05   0.739792E+00
   0.127009E-05   0.739792E+00
   0.128009E-05   0.739792E+00
   0.129009E-05   0.739792E+00
   0.130009E-05   0.739792E+00
   0.131009E-05   0.739792E+00
   0.132009E-05   0.739792E+00
   0.133009E-05   0.739792E+00
   0.134009E-05   0.739792E+00
   0.135009E-05   0.739792E+00
   0.136009E-05   0.739792E+00
   0.137009E-05   0.739792E+00
   0.138009E-05   0.739792E+00
   0.139009E-05   0.739792E+00
   0.140009E-05   0.739792E+00
   0.141009E-05   0.739792E+00
   0.142009E-05   0.739792E+00
   0.143009E-05   0.739792E+00
   0.144009E-05   0.739792E+00
   0.145009E-05   0.739792E+00
   0.146009E-05   0.739792E+00
   0.147009E-05   0.739792E+00
   0.148009E-05   0.739792E+00
