 initial_phi	Omega_de
   0.100000-119   0.292541-103
   0.100000-118   0.292541-101
   0.100000-117   0.292541E-99
   0.100000-116   0.292541E-97
   0.100000-115   0.292541E-95
   0.100000-114   0.292541E-93
   0.100000-113   0.292541E-91
   0.100000-112   0.292541E-89
   0.100000-111   0.292541E-87
   0.100000-110   0.292541E-85
   0.100000-109   0.292541E-83
   0.100000-108   0.292541E-81
   0.100000-107   0.292541E-79
   0.100000-106   0.292541E-77
   0.100000-105   0.292541E-75
   0.100000-104   0.292541E-73
   0.100000-103   0.292541E-71
   0.100000-102   0.292541E-69
   0.100000-101   0.292541E-67
   0.100000-100   0.292541E-65
   0.100000E-99   0.292541E-63
   0.100000E-98   0.292541E-61
   0.100000E-97   0.292541E-59
   0.100000E-96   0.292541E-57
   0.100000E-95   0.292541E-55
   0.100000E-94   0.292541E-53
   0.100000E-93   0.292541E-51
   0.100000E-92   0.292541E-49
   0.100000E-91   0.292541E-47
   0.100000E-90   0.292541E-45
   0.100000E-89   0.292541E-43
   0.100000E-88   0.292541E-41
   0.100000E-87   0.292541E-39
   0.100000E-86   0.292541E-37
   0.100000E-85   0.292541E-35
   0.100000E-84   0.292541E-33
   0.100000E-83   0.292541E-31
   0.100000E-82   0.292541E-29
   0.100000E-81   0.292541E-27
   0.100000E-80   0.292541E-25
   0.100000E-79   0.292541E-23
   0.100000E-78   0.292541E-21
   0.100000E-77   0.292541E-19
   0.100000E-76   0.292541E-17
   0.100000E-75   0.292541E-15
   0.100000E-74   0.292541E-13
   0.100000E-73   0.292541E-11
   0.100000E-72   0.292541E-09
   0.100000E-71   0.425782E-06
   0.100000E-70   0.432198E-06
   0.100000E-69   0.644610E-06
