 a		phi		phidot		fde
    0.100323E-06    0.337289E+01   -0.510796E-16    0.278265E-15
    0.100647E-06    0.337289E+01   -0.102327E-15    0.281877E-15
    0.100972E-06    0.337289E+01   -0.153747E-15    0.285535E-15
    0.101298E-06    0.337289E+01   -0.205342E-15    0.289241E-15
    0.101625E-06    0.337289E+01   -0.257117E-15    0.292996E-15
    0.101953E-06    0.337289E+01   -0.309075E-15    0.296799E-15
    0.102283E-06    0.337289E+01   -0.361220E-15    0.300651E-15
    0.102613E-06    0.337289E+01   -0.413556E-15    0.304553E-15
    0.102944E-06    0.337289E+01   -0.466086E-15    0.308506E-15
    0.103277E-06    0.337289E+01   -0.518816E-15    0.312510E-15
    0.103610E-06    0.337289E+01   -0.571748E-15    0.316567E-15
    0.103945E-06    0.337289E+01   -0.624887E-15    0.320676E-15
    0.104281E-06    0.337289E+01   -0.678236E-15    0.324838E-15
    0.104617E-06    0.337289E+01   -0.731800E-15    0.329054E-15
    0.104955E-06    0.337289E+01   -0.785583E-15    0.333325E-15
    0.105294E-06    0.337289E+01   -0.839588E-15    0.337651E-15
    0.105634E-06    0.337289E+01   -0.893821E-15    0.342034E-15
    0.105975E-06    0.337289E+01   -0.948284E-15    0.346473E-15
    0.106318E-06    0.337289E+01   -0.100298E-14    0.350970E-15
    0.106661E-06    0.337289E+01   -0.105792E-14    0.355526E-15
    0.107005E-06    0.337289E+01   -0.111310E-14    0.360140E-15
    0.107351E-06    0.337289E+01   -0.116853E-14    0.364815E-15
    0.107698E-06    0.337289E+01   -0.122421E-14    0.369550E-15
    0.108046E-06    0.337289E+01   -0.128015E-14    0.374346E-15
    0.108394E-06    0.337289E+01   -0.133634E-14    0.379205E-15
    0.108744E-06    0.337289E+01   -0.139281E-14    0.384127E-15
    0.109096E-06    0.337289E+01   -0.144954E-14    0.389113E-15
    0.109448E-06    0.337289E+01   -0.150654E-14    0.394163E-15
    0.109801E-06    0.337289E+01   -0.156383E-14    0.399279E-15
    0.110156E-06    0.337289E+01   -0.162140E-14    0.404462E-15
    0.110512E-06    0.337289E+01   -0.167925E-14    0.409711E-15
    0.110869E-06    0.337289E+01   -0.173739E-14    0.415029E-15
    0.111227E-06    0.337289E+01   -0.179584E-14    0.420416E-15
    0.111586E-06    0.337289E+01   -0.185458E-14    0.425873E-15
    0.111946E-06    0.337289E+01   -0.191363E-14    0.431400E-15
    0.112308E-06    0.337289E+01   -0.197298E-14    0.437000E-15
    0.112671E-06    0.337289E+01   -0.203266E-14    0.442672E-15
    0.113034E-06    0.337289E+01   -0.209265E-14    0.448417E-15
    0.113399E-06    0.337289E+01   -0.215297E-14    0.454237E-15
    0.113766E-06    0.337289E+01   -0.221361E-14    0.460133E-15
    0.114133E-06    0.337289E+01   -0.227460E-14    0.466105E-15
    0.114502E-06    0.337289E+01   -0.233591E-14    0.472155E-15
    0.114871E-06    0.337289E+01   -0.239758E-14    0.478283E-15
    0.115242E-06    0.337289E+01   -0.245959E-14    0.484491E-15
    0.115615E-06    0.337289E+01   -0.252196E-14    0.490780E-15
    0.115988E-06    0.337289E+01   -0.258468E-14    0.497150E-15
    0.116363E-06    0.337289E+01   -0.264777E-14    0.503602E-15
    0.116738E-06    0.337289E+01   -0.271123E-14    0.510139E-15
    0.117115E-06    0.337289E+01   -0.277506E-14    0.516760E-15
    0.117494E-06    0.337289E+01   -0.283928E-14    0.523467E-15
    0.117873E-06    0.337289E+01   -0.290387E-14    0.530261E-15
    0.118254E-06    0.337289E+01   -0.296886E-14    0.537144E-15
    0.118636E-06    0.337289E+01   -0.303424E-14    0.544116E-15
    0.119019E-06    0.337289E+01   -0.310002E-14    0.551178E-15
    0.119403E-06    0.337289E+01   -0.316621E-14    0.558332E-15
    0.119789E-06    0.337289E+01   -0.323281E-14    0.565579E-15
    0.120176E-06    0.337289E+01   -0.329983E-14    0.572919E-15
    0.120564E-06    0.337289E+01   -0.336727E-14    0.580356E-15
    0.120953E-06    0.337289E+01   -0.343514E-14    0.587888E-15
    0.121344E-06    0.337289E+01   -0.350344E-14    0.595519E-15
    0.121735E-06    0.337289E+01   -0.357218E-14    0.603248E-15
    0.122129E-06    0.337289E+01   -0.364137E-14    0.611078E-15
    0.122523E-06    0.337289E+01   -0.371100E-14    0.619009E-15
    0.122919E-06    0.337289E+01   -0.378110E-14    0.627043E-15
    0.123316E-06    0.337289E+01   -0.385165E-14    0.635182E-15
    0.123714E-06    0.337289E+01   -0.392268E-14    0.643426E-15
    0.124113E-06    0.337289E+01   -0.399418E-14    0.651777E-15
    0.124514E-06    0.337289E+01   -0.406616E-14    0.660237E-15
    0.124916E-06    0.337289E+01   -0.413862E-14    0.668806E-15
    0.125320E-06    0.337289E+01   -0.421158E-14    0.677487E-15
    0.125724E-06    0.337289E+01   -0.428504E-14    0.686280E-15
    0.126131E-06    0.337289E+01   -0.435900E-14    0.695188E-15
    0.126538E-06    0.337289E+01   -0.443348E-14    0.704211E-15
    0.126946E-06    0.337289E+01   -0.450847E-14    0.713351E-15
    0.127356E-06    0.337289E+01   -0.458398E-14    0.722610E-15
    0.127768E-06    0.337289E+01   -0.466003E-14    0.731989E-15
    0.128180E-06    0.337289E+01   -0.473661E-14    0.741489E-15
    0.128594E-06    0.337289E+01   -0.481373E-14    0.751113E-15
    0.129010E-06    0.337289E+01   -0.489141E-14    0.760862E-15
    0.129426E-06    0.337289E+01   -0.496964E-14    0.770737E-15
    0.129844E-06    0.337289E+01   -0.504843E-14    0.780741E-15
    0.130264E-06    0.337289E+01   -0.512779E-14    0.790874E-15
    0.130684E-06    0.337289E+01   -0.520773E-14    0.801139E-15
    0.131106E-06    0.337289E+01   -0.528826E-14    0.811537E-15
    0.131530E-06    0.337289E+01   -0.536937E-14    0.822071E-15
    0.131954E-06    0.337289E+01   -0.545108E-14    0.832740E-15
    0.132381E-06    0.337289E+01   -0.553340E-14    0.843549E-15
    0.132808E-06    0.337289E+01   -0.561632E-14    0.854497E-15
    0.133237E-06    0.337289E+01   -0.569987E-14    0.865588E-15
    0.133667E-06    0.337289E+01   -0.578404E-14    0.876823E-15
