 a		phi		phidot		fde
    0.100323E-06    0.100000E+02    0.186944E-12    0.886517E-14
    0.100647E-06    0.100000E+02    0.374503E-12    0.898023E-14
    0.100972E-06    0.100000E+02    0.562690E-12    0.909679E-14
    0.101298E-06    0.100000E+02    0.751521E-12    0.921486E-14
    0.101625E-06    0.100000E+02    0.941009E-12    0.933447E-14
    0.101953E-06    0.100000E+02    0.113117E-11    0.945563E-14
    0.102283E-06    0.100000E+02    0.132201E-11    0.957835E-14
    0.102613E-06    0.100000E+02    0.151355E-11    0.970268E-14
    0.102944E-06    0.100000E+02    0.170581E-11    0.982861E-14
    0.103277E-06    0.100000E+02    0.189879E-11    0.995618E-14
    0.103610E-06    0.100000E+02    0.209251E-11    0.100854E-13
    0.103945E-06    0.100000E+02    0.228699E-11    0.102163E-13
    0.104281E-06    0.100000E+02    0.248224E-11    0.103489E-13
    0.104617E-06    0.100000E+02    0.267828E-11    0.104832E-13
    0.104955E-06    0.100000E+02    0.287511E-11    0.106193E-13
    0.105294E-06    0.100000E+02    0.307277E-11    0.107571E-13
    0.105634E-06    0.100000E+02    0.327125E-11    0.108968E-13
    0.105975E-06    0.100000E+02    0.347058E-11    0.110382E-13
    0.106318E-06    0.100000E+02    0.367076E-11    0.111815E-13
    0.106661E-06    0.100000E+02    0.387183E-11    0.113266E-13
    0.107005E-06    0.100000E+02    0.407378E-11    0.114736E-13
    0.107351E-06    0.100000E+02    0.427664E-11    0.116225E-13
    0.107698E-06    0.100000E+02    0.448042E-11    0.117734E-13
    0.108046E-06    0.100000E+02    0.468515E-11    0.119262E-13
    0.108394E-06    0.100000E+02    0.489082E-11    0.120810E-13
    0.108744E-06    0.100000E+02    0.509746E-11    0.122378E-13
    0.109096E-06    0.100000E+02    0.530509E-11    0.123966E-13
    0.109448E-06    0.100000E+02    0.551373E-11    0.125575E-13
    0.109801E-06    0.100000E+02    0.572338E-11    0.127205E-13
    0.110156E-06    0.100000E+02    0.593406E-11    0.128856E-13
    0.110512E-06    0.100000E+02    0.614580E-11    0.130529E-13
    0.110869E-06    0.100000E+02    0.635860E-11    0.132223E-13
    0.111227E-06    0.100000E+02    0.657249E-11    0.133939E-13
    0.111586E-06    0.100000E+02    0.678748E-11    0.135678E-13
    0.111946E-06    0.100000E+02    0.700358E-11    0.137439E-13
    0.112308E-06    0.100000E+02    0.722083E-11    0.139222E-13
    0.112671E-06    0.100000E+02    0.743922E-11    0.141030E-13
    0.113034E-06    0.100000E+02    0.765879E-11    0.142860E-13
    0.113399E-06    0.100000E+02    0.787954E-11    0.144714E-13
    0.113766E-06    0.100000E+02    0.810149E-11    0.146593E-13
    0.114133E-06    0.100000E+02    0.832467E-11    0.148495E-13
    0.114502E-06    0.100000E+02    0.854909E-11    0.150423E-13
    0.114871E-06    0.100000E+02    0.877477E-11    0.152375E-13
    0.115242E-06    0.100000E+02    0.900173E-11    0.154353E-13
    0.115615E-06    0.100000E+02    0.922998E-11    0.156356E-13
    0.115988E-06    0.100000E+02    0.945955E-11    0.158386E-13
    0.116363E-06    0.100000E+02    0.969044E-11    0.160441E-13
    0.116738E-06    0.100000E+02    0.992269E-11    0.162524E-13
    0.117115E-06    0.100000E+02    0.101563E-10    0.164633E-13
    0.117494E-06    0.100000E+02    0.103913E-10    0.166770E-13
    0.117873E-06    0.100000E+02    0.106277E-10    0.168935E-13
    0.118254E-06    0.100000E+02    0.108656E-10    0.171127E-13
    0.118636E-06    0.100000E+02    0.111049E-10    0.173348E-13
    0.119019E-06    0.100000E+02    0.113456E-10    0.175598E-13
    0.119403E-06    0.100000E+02    0.115879E-10    0.177877E-13
    0.119789E-06    0.100000E+02    0.118316E-10    0.180186E-13
    0.120176E-06    0.100000E+02    0.120769E-10    0.182525E-13
    0.120564E-06    0.100000E+02    0.123237E-10    0.184894E-13
    0.120953E-06    0.100000E+02    0.125721E-10    0.187294E-13
    0.121344E-06    0.100000E+02    0.128221E-10    0.189725E-13
    0.121735E-06    0.100000E+02    0.130736E-10    0.192187E-13
    0.122129E-06    0.100000E+02    0.133269E-10    0.194682E-13
    0.122523E-06    0.100000E+02    0.135817E-10    0.197208E-13
    0.122919E-06    0.100000E+02    0.138382E-10    0.199768E-13
    0.123316E-06    0.100000E+02    0.140965E-10    0.202361E-13
    0.123714E-06    0.100000E+02    0.143564E-10    0.204987E-13
    0.124113E-06    0.100000E+02    0.146181E-10    0.207648E-13
    0.124514E-06    0.100000E+02    0.148815E-10    0.210343E-13
    0.124916E-06    0.100000E+02    0.151467E-10    0.213073E-13
    0.125320E-06    0.100000E+02    0.154138E-10    0.215839E-13
    0.125724E-06    0.100000E+02    0.156826E-10    0.218640E-13
    0.126131E-06    0.100000E+02    0.159533E-10    0.221478E-13
