 a		phi		phidot		fde
    0.100323E-06    0.156033E+01   -0.233527E-17    0.882781E-17
    0.100647E-06    0.156033E+01   -0.467823E-17    0.894239E-17
    0.100972E-06    0.156033E+01   -0.702904E-17    0.905846E-17
    0.101298E-06    0.156033E+01   -0.938788E-17    0.917603E-17
    0.101625E-06    0.156033E+01   -0.117549E-16    0.929513E-17
    0.101953E-06    0.156033E+01   -0.141304E-16    0.941578E-17
    0.102283E-06    0.156033E+01   -0.165143E-16    0.953799E-17
    0.102613E-06    0.156033E+01   -0.189070E-16    0.966179E-17
    0.102944E-06    0.156033E+01   -0.213087E-16    0.978719E-17
    0.103277E-06    0.156033E+01   -0.237193E-16    0.991423E-17
    0.103610E-06    0.156033E+01   -0.261393E-16    0.100429E-16
    0.103945E-06    0.156033E+01   -0.285687E-16    0.101733E-16
    0.104281E-06    0.156033E+01   -0.310078E-16    0.103053E-16
    0.104617E-06    0.156033E+01   -0.334566E-16    0.104391E-16
    0.104955E-06    0.156033E+01   -0.359155E-16    0.105746E-16
    0.105294E-06    0.156033E+01   -0.383845E-16    0.107118E-16
    0.105634E-06    0.156033E+01   -0.408639E-16    0.108508E-16
    0.105975E-06    0.156033E+01   -0.433539E-16    0.109917E-16
    0.106318E-06    0.156033E+01   -0.458546E-16    0.111343E-16
    0.106661E-06    0.156033E+01   -0.483662E-16    0.112789E-16
    0.107005E-06    0.156033E+01   -0.508890E-16    0.114253E-16
    0.107351E-06    0.156033E+01   -0.534231E-16    0.115736E-16
    0.107698E-06    0.156033E+01   -0.559688E-16    0.117238E-16
    0.108046E-06    0.156033E+01   -0.585261E-16    0.118759E-16
    0.108394E-06    0.156033E+01   -0.610954E-16    0.120301E-16
    0.108744E-06    0.156033E+01   -0.636767E-16    0.121862E-16
    0.109096E-06    0.156033E+01   -0.662704E-16    0.123444E-16
    0.109448E-06    0.156033E+01   -0.688766E-16    0.125046E-16
    0.109801E-06    0.156033E+01   -0.714955E-16    0.126669E-16
    0.110156E-06    0.156033E+01   -0.741274E-16    0.128313E-16
    0.110512E-06    0.156033E+01   -0.767723E-16    0.129979E-16
    0.110869E-06    0.156033E+01   -0.794306E-16    0.131666E-16
    0.111227E-06    0.156033E+01   -0.821025E-16    0.133375E-16
    0.111586E-06    0.156033E+01   -0.847881E-16    0.135106E-16
    0.111946E-06    0.156033E+01   -0.874877E-16    0.136859E-16
    0.112308E-06    0.156033E+01   -0.902014E-16    0.138636E-16
    0.112671E-06    0.156033E+01   -0.929296E-16    0.140435E-16
    0.113034E-06    0.156033E+01   -0.956723E-16    0.142258E-16
    0.113399E-06    0.156033E+01   -0.984299E-16    0.144104E-16
    0.113766E-06    0.156033E+01   -0.101203E-15    0.145975E-16
    0.114133E-06    0.156033E+01   -0.103991E-15    0.147869E-16
    0.114502E-06    0.156033E+01   -0.106794E-15    0.149789E-16
    0.114871E-06    0.156033E+01   -0.109613E-15    0.151733E-16
    0.115242E-06    0.156033E+01   -0.112448E-15    0.153702E-16
    0.115615E-06    0.156033E+01   -0.115299E-15    0.155697E-16
    0.115988E-06    0.156033E+01   -0.118167E-15    0.157718E-16
    0.116363E-06    0.156033E+01   -0.121051E-15    0.159765E-16
    0.116738E-06    0.156033E+01   -0.123953E-15    0.161839E-16
    0.117115E-06    0.156033E+01   -0.126871E-15    0.163939E-16
    0.117494E-06    0.156033E+01   -0.129807E-15    0.166067E-16
    0.117873E-06    0.156033E+01   -0.132760E-15    0.168223E-16
    0.118254E-06    0.156033E+01   -0.135731E-15    0.170406E-16
    0.118636E-06    0.156033E+01   -0.138720E-15    0.172618E-16
    0.119019E-06    0.156033E+01   -0.141728E-15    0.174858E-16
    0.119403E-06    0.156033E+01   -0.144754E-15    0.177128E-16
    0.119789E-06    0.156033E+01   -0.147799E-15    0.179427E-16
    0.120176E-06    0.156033E+01   -0.150862E-15    0.181756E-16
    0.120564E-06    0.156033E+01   -0.153946E-15    0.184115E-16
    0.120953E-06    0.156033E+01   -0.157049E-15    0.186504E-16
    0.121344E-06    0.156033E+01   -0.160171E-15    0.188925E-16
    0.121735E-06    0.156033E+01   -0.163314E-15    0.191377E-16
    0.122129E-06    0.156033E+01   -0.166477E-15    0.193861E-16
    0.122523E-06    0.156033E+01   -0.169661E-15    0.196377E-16
    0.122919E-06    0.156033E+01   -0.172865E-15    0.198926E-16
