#    L    TT             EE             BB             TE          
     2   0.101633E+04   0.308835E-01   0.182439E-05   0.262081E+01
     3   0.962965E+03   0.396911E-01   0.364924E-05   0.293956E+01
     4   0.911591E+03   0.344959E-01   0.608311E-05   0.275818E+01
     5   0.873297E+03   0.230931E-01   0.912661E-05   0.235019E+01
     6   0.847227E+03   0.129503E-01   0.127805E-04   0.189409E+01
     7   0.830741E+03   0.699979E-02   0.170457E-04   0.148886E+01
     8   0.820923E+03   0.450134E-02   0.219232E-04   0.117792E+01
     9   0.816420E+03   0.360327E-02   0.274142E-04   0.966742E+00
    10   0.815794E+03   0.307464E-02   0.335200E-04   0.847362E+00
    11   0.817666E+03   0.259591E-02   0.402419E-04   0.802413E+00
    12   0.822768E+03   0.227836E-02   0.475814E-04   0.812931E+00
    13   0.829201E+03   0.219566E-02   0.555402E-04   0.855300E+00
    14   0.836798E+03   0.228736E-02   0.641197E-04   0.908450E+00
    15   0.844514E+03   0.247217E-02   0.733217E-04   0.964851E+00
    16   0.854127E+03   0.273020E-02   0.831479E-04   0.102603E+01
    17   0.865485E+03   0.310405E-02   0.936002E-04   0.108946E+01
    18   0.877446E+03   0.363739E-02   0.104680E-03   0.115388E+01
    19   0.890767E+03   0.433377E-02   0.116390E-03   0.122248E+01
    20   0.903838E+03   0.517068E-02   0.128731E-03   0.129022E+01
    21   0.917355E+03   0.614167E-02   0.141705E-03   0.136169E+01
    22   0.931347E+03   0.725767E-02   0.155314E-03   0.143725E+01
    23   0.945429E+03   0.851087E-02   0.169560E-03   0.151421E+01
    24   0.959920E+03   0.989834E-02   0.184444E-03   0.158918E+01
    25   0.974953E+03   0.114247E-01   0.199968E-03   0.165436E+01
    26   0.990040E+03   0.131023E-01   0.216133E-03   0.171341E+01
    27   0.100559E+04   0.149420E-01   0.232941E-03   0.176715E+01
    28   0.102143E+04   0.169379E-01   0.250393E-03   0.181080E+01
    29   0.103747E+04   0.191161E-01   0.268491E-03   0.184942E+01
    30   0.105393E+04   0.215051E-01   0.287234E-03   0.187635E+01
    31   0.107018E+04   0.241014E-01   0.306625E-03   0.190239E+01
    32   0.108704E+04   0.269209E-01   0.326665E-03   0.192247E+01
    33   0.110397E+04   0.299233E-01   0.347353E-03   0.193507E+01
    34   0.112097E+04   0.331339E-01   0.368691E-03   0.194124E+01
    35   0.113861E+04   0.365596E-01   0.390679E-03   0.193180E+01
    36   0.115597E+04   0.402290E-01   0.413317E-03   0.191701E+01
    37   0.117359E+04   0.441676E-01   0.436605E-03   0.189104E+01
    38   0.119158E+04   0.483635E-01   0.460545E-03   0.185590E+01
    39   0.120985E+04   0.528061E-01   0.485135E-03   0.181139E+01
    40   0.122830E+04   0.574880E-01   0.510375E-03   0.175573E+01
    41   0.124685E+04   0.624059E-01   0.536266E-03   0.168769E+01
    42   0.126550E+04   0.675729E-01   0.562806E-03   0.160828E+01
    43   0.128427E+04   0.730056E-01   0.589996E-03   0.151863E+01
    44   0.130321E+04   0.787188E-01   0.617834E-03   0.141829E+01
    45   0.132238E+04   0.847244E-01   0.646320E-03   0.130650E+01
    46   0.134175E+04   0.910295E-01   0.675453E-03   0.118290E+01
    47   0.136129E+04   0.976345E-01   0.705233E-03   0.104695E+01
    48   0.138100E+04   0.104531E+00   0.735659E-03   0.898045E+00
    49   0.140084E+04   0.111710E+00   0.766729E-03   0.735635E+00
    50   0.142089E+04   0.119174E+00   0.798443E-03   0.559324E+00
