#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
     2   0.101632E+04   0.262081E+01   0.298819E-02   0.262081E+01   0.308817E-01  -0.122362E-04   0.298819E-02  -0.122362E-04   0.501287E-07
     3   0.962959E+03   0.293956E+01   0.298752E-02   0.293956E+01   0.396875E-01  -0.131243E-04   0.298752E-02  -0.131243E-04   0.609865E-07
     4   0.911580E+03   0.275818E+01   0.291260E-02   0.275818E+01   0.344899E-01  -0.111096E-04   0.291260E-02  -0.111096E-04   0.702502E-07
     5   0.873281E+03   0.235019E+01   0.281094E-02   0.235019E+01   0.230840E-01  -0.757115E-05   0.281094E-02  -0.757115E-05   0.782822E-07
     6   0.847204E+03   0.189409E+01   0.270266E-02   0.189409E+01   0.129375E-01  -0.367962E-05   0.270266E-02  -0.367962E-05   0.852914E-07
     7   0.830710E+03   0.148886E+01   0.259735E-02   0.148886E+01   0.698275E-02  -0.328997E-06   0.259735E-02  -0.328997E-06   0.914622E-07
     8   0.820884E+03   0.117792E+01   0.249516E-02   0.117792E+01   0.447942E-02   0.191133E-05   0.249516E-02   0.191133E-05   0.969225E-07
     9   0.816371E+03   0.966748E+00   0.239479E-02   0.966748E+00   0.357585E-02   0.283652E-05   0.239479E-02   0.283652E-05   0.101782E-06
    10   0.815735E+03   0.847371E+00   0.229820E-02   0.847371E+00   0.304112E-02   0.262383E-05   0.229820E-02   0.262383E-05   0.106110E-06
    11   0.817595E+03   0.802427E+00   0.220966E-02   0.802427E+00   0.255567E-02   0.171647E-05   0.220966E-02   0.171647E-05   0.110000E-06
    12   0.822684E+03   0.812950E+00   0.212824E-02   0.812950E+00   0.223078E-02   0.583291E-06   0.212824E-02   0.583291E-06   0.113457E-06
    13   0.829104E+03   0.855326E+00   0.205654E-02   0.855326E+00   0.214012E-02  -0.445516E-06   0.205654E-02  -0.445516E-06   0.116581E-06
    14   0.836687E+03   0.908485E+00   0.198727E-02   0.908485E+00   0.222325E-02  -0.117801E-05   0.198727E-02  -0.117801E-05   0.119363E-06
    15   0.844387E+03   0.964896E+00   0.192091E-02   0.964896E+00   0.239886E-02  -0.148907E-05   0.192091E-02  -0.148907E-05   0.121876E-06
    16   0.853983E+03   0.102609E+01   0.185480E-02   0.102609E+01   0.264707E-02  -0.131626E-05   0.185480E-02  -0.131626E-05   0.124125E-06
    17   0.865325E+03   0.108953E+01   0.179057E-02   0.108953E+01   0.301048E-02  -0.827242E-06   0.179057E-02  -0.827242E-06   0.126135E-06
    18   0.877268E+03   0.115397E+01   0.173075E-02   0.115397E+01   0.353275E-02  -0.252386E-06   0.173075E-02  -0.252386E-06   0.127942E-06
    19   0.890570E+03   0.122259E+01   0.167519E-02   0.122259E+01   0.421744E-02   0.158700E-06   0.167519E-02   0.158700E-06   0.129557E-06
    20   0.903621E+03   0.129035E+01   0.162308E-02   0.129035E+01   0.504203E-02   0.223647E-06   0.162308E-02   0.223647E-06   0.130986E-06
    21   0.917119E+03   0.136185E+01   0.157380E-02   0.136185E+01   0.600006E-02   0.482861E-07   0.157380E-02   0.482861E-07   0.132251E-06
    22   0.931090E+03   0.143744E+01   0.152688E-02   0.143744E+01   0.710249E-02  -0.206521E-06   0.152688E-02  -0.206521E-06   0.133375E-06
    23   0.945150E+03   0.151443E+01   0.148215E-02   0.151443E+01   0.834148E-02  -0.447969E-06   0.148215E-02  -0.447969E-06   0.134365E-06
    24   0.959619E+03   0.158943E+01   0.143952E-02   0.158943E+01   0.971412E-02  -0.619081E-06   0.143952E-02  -0.619081E-06   0.135229E-06
    25   0.974630E+03   0.165466E+01   0.139892E-02   0.165466E+01   0.112250E-01  -0.738128E-06   0.139892E-02  -0.738128E-06   0.135977E-06
    26   0.989693E+03   0.171375E+01   0.136022E-02   0.171375E+01   0.128865E-01  -0.824549E-06   0.136022E-02  -0.824549E-06   0.136621E-06
    27   0.100522E+04   0.176754E+01   0.132307E-02   0.176754E+01   0.147095E-01  -0.827225E-06   0.132307E-02  -0.827225E-06   0.137171E-06
    28   0.102103E+04   0.181124E+01   0.128720E-02   0.181124E+01   0.166880E-01  -0.699243E-06   0.128720E-02  -0.699243E-06   0.137632E-06
    29   0.103706E+04   0.184992E+01   0.125283E-02   0.184992E+01   0.188483E-01  -0.481079E-06   0.125283E-02  -0.481079E-06   0.138006E-06
    30   0.105348E+04   0.187691E+01   0.122018E-02   0.187691E+01   0.212187E-01  -0.244832E-06   0.122018E-02  -0.244832E-06   0.138293E-06
    31   0.106971E+04   0.190302E+01   0.118915E-02   0.190302E+01   0.237958E-01  -0.101683E-06   0.118915E-02  -0.101683E-06   0.138504E-06
    32   0.108654E+04   0.192317E+01   0.115952E-02   0.192317E+01   0.265955E-01  -0.140536E-06   0.115952E-02  -0.140536E-06   0.138651E-06
    33   0.110345E+04   0.193584E+01   0.113112E-02   0.193584E+01   0.295774E-01  -0.322075E-06   0.113112E-02  -0.322075E-06   0.138739E-06
    34   0.112042E+04   0.194209E+01   0.110376E-02   0.194209E+01   0.327670E-01  -0.565754E-06   0.110376E-02  -0.565754E-06   0.138768E-06
    35   0.113803E+04   0.193273E+01   0.107722E-02   0.193273E+01   0.361710E-01  -0.754319E-06   0.107722E-02  -0.754319E-06   0.138744E-06
    36   0.115537E+04   0.191803E+01   0.105137E-02   0.191803E+01   0.398182E-01  -0.789952E-06   0.105137E-02  -0.789952E-06   0.138670E-06
    37   0.117296E+04   0.189215E+01   0.102661E-02   0.189215E+01   0.437339E-01  -0.689291E-06   0.102661E-02  -0.689291E-06   0.138551E-06
    38   0.119092E+04   0.185711E+01   0.100330E-02   0.185711E+01   0.479063E-01  -0.501980E-06   0.100330E-02  -0.501980E-06   0.138389E-06
    39   0.120915E+04   0.181270E+01   0.981244E-03   0.181270E+01   0.523249E-01  -0.295237E-06   0.981244E-03  -0.295237E-06   0.138186E-06
    40   0.122758E+04   0.175714E+01   0.960070E-03   0.175714E+01   0.569822E-01  -0.140672E-06   0.960070E-03  -0.140672E-06   0.137945E-06
    41   0.124610E+04   0.168921E+01   0.939486E-03   0.168921E+01   0.618750E-01  -0.916790E-07   0.939486E-03  -0.916790E-07   0.137667E-06
    42   0.126472E+04   0.160990E+01   0.919441E-03   0.160990E+01   0.670162E-01  -0.128784E-06   0.919441E-03  -0.128784E-06   0.137356E-06
    43   0.128346E+04   0.152036E+01   0.899946E-03   0.152036E+01   0.724226E-01  -0.214294E-06   0.899946E-03  -0.214294E-06   0.137012E-06
    44   0.130237E+04   0.142014E+01   0.881010E-03   0.142014E+01   0.781090E-01  -0.310518E-06   0.881010E-03  -0.310518E-06   0.136640E-06
    45   0.132151E+04   0.130846E+01   0.862644E-03   0.130846E+01   0.840873E-01  -0.379765E-06   0.862644E-03  -0.379765E-06   0.136240E-06
    46   0.134085E+04   0.118498E+01   0.844853E-03   0.118498E+01   0.903645E-01  -0.395311E-06   0.844853E-03  -0.395311E-06   0.135816E-06
    47   0.136036E+04   0.104914E+01   0.827617E-03   0.104914E+01   0.969411E-01  -0.374309E-06   0.827617E-03  -0.374309E-06   0.135369E-06
    48   0.138004E+04   0.900350E+00   0.810907E-03   0.900350E+00   0.103809E+00  -0.344882E-06   0.810907E-03  -0.344882E-06   0.134901E-06
    49   0.139985E+04   0.738054E+00   0.794699E-03   0.738054E+00   0.110958E+00  -0.335152E-06   0.794699E-03  -0.335152E-06   0.134414E-06
    50   0.141986E+04   0.561856E+00   0.778964E-03   0.561856E+00   0.118392E+00  -0.373240E-06   0.778964E-03  -0.373240E-06   0.133908E-06
    51   0.144013E+04   0.371667E+00   0.763685E-03   0.371667E+00   0.126114E+00  -0.476838E-06   0.763685E-03  -0.476838E-06   0.133387E-06
    52   0.146060E+04   0.168438E+00   0.748872E-03   0.168438E+00   0.134127E+00  -0.621909E-06   0.748872E-03  -0.621909E-06   0.132849E-06
    53   0.148121E+04  -0.468304E-01   0.734548E-03  -0.468304E-01   0.142435E+00  -0.773985E-06   0.734548E-03  -0.773985E-06   0.132298E-06
    54   0.150192E+04  -0.273995E+00   0.720730E-03  -0.273995E+00   0.151038E+00  -0.898599E-06   0.720730E-03  -0.898599E-06   0.131733E-06
    55   0.152275E+04  -0.513284E+00   0.707440E-03  -0.513284E+00   0.159942E+00  -0.961284E-06   0.707440E-03  -0.961284E-06   0.131156E-06
    56   0.154380E+04  -0.765567E+00   0.694686E-03  -0.765567E+00   0.169143E+00  -0.938141E-06   0.694686E-03  -0.938141E-06   0.130568E-06
    57   0.156516E+04  -0.103173E+01   0.682422E-03  -0.103173E+01   0.178638E+00  -0.847544E-06   0.682422E-03  -0.847544E-06   0.129968E-06
    58   0.158681E+04  -0.131196E+01   0.670593E-03  -0.131196E+01   0.188425E+00  -0.718440E-06   0.670593E-03  -0.718440E-06   0.129359E-06
    59   0.160864E+04  -0.160619E+01   0.659142E-03  -0.160619E+01   0.198505E+00  -0.579771E-06   0.659142E-03  -0.579771E-06   0.128740E-06
    60   0.163065E+04  -0.191391E+01   0.648012E-03  -0.191391E+01   0.208868E+00  -0.460483E-06   0.648012E-03  -0.460483E-06   0.128112E-06
    61   0.165283E+04  -0.223466E+01   0.637153E-03  -0.223466E+01   0.219509E+00  -0.384276E-06   0.637153E-03  -0.384276E-06   0.127475E-06
    62   0.167520E+04  -0.256843E+01   0.626534E-03  -0.256843E+01   0.230423E+00  -0.353878E-06   0.626534E-03  -0.353878E-06   0.126831E-06
    63   0.169777E+04  -0.291536E+01   0.616132E-03  -0.291536E+01   0.241609E+00  -0.366771E-06   0.616132E-03  -0.366771E-06   0.126181E-06
    64   0.172054E+04  -0.327559E+01   0.605921E-03  -0.327559E+01   0.253063E+00  -0.420440E-06   0.605921E-03  -0.420440E-06   0.125525E-06
    65   0.174355E+04  -0.364930E+01   0.595878E-03  -0.364930E+01   0.264787E+00  -0.512368E-06   0.595878E-03  -0.512368E-06   0.124864E-06
    66   0.176683E+04  -0.403671E+01   0.585991E-03  -0.403671E+01   0.276771E+00  -0.637250E-06   0.585991E-03  -0.637250E-06   0.124200E-06
    67   0.179036E+04  -0.443728E+01   0.576290E-03  -0.443728E+01   0.289010E+00  -0.778629E-06   0.576290E-03  -0.778629E-06   0.123533E-06
    68   0.181410E+04  -0.485029E+01   0.566822E-03  -0.485029E+01   0.301494E+00  -0.917258E-06   0.566822E-03  -0.917258E-06   0.122863E-06
    69   0.183801E+04  -0.527506E+01   0.557629E-03  -0.527506E+01   0.314215E+00  -0.103389E-05   0.557629E-03  -0.103389E-05   0.122191E-06
    70   0.186206E+04  -0.571107E+01   0.548756E-03  -0.571107E+01   0.327167E+00  -0.110929E-05   0.548756E-03  -0.110929E-05   0.121518E-06
    71   0.188623E+04  -0.615816E+01   0.540235E-03  -0.615816E+01   0.340346E+00  -0.112960E-05   0.540235E-03  -0.112960E-05   0.120843E-06
    72   0.191062E+04  -0.661722E+01   0.532044E-03  -0.661722E+01   0.353747E+00  -0.110258E-05   0.532044E-03  -0.110258E-05   0.120167E-06
    73   0.193536E+04  -0.708923E+01   0.524150E-03  -0.708923E+01   0.367366E+00  -0.104139E-05   0.524150E-03  -0.104139E-05   0.119490E-06
    74   0.196045E+04  -0.757408E+01   0.516519E-03  -0.757408E+01   0.381191E+00  -0.959195E-06   0.516519E-03  -0.959195E-06   0.118811E-06
    75   0.198590E+04  -0.807133E+01   0.509117E-03  -0.807133E+01   0.395209E+00  -0.869147E-06   0.509117E-03  -0.869147E-06   0.118132E-06
    76   0.201166E+04  -0.858045E+01   0.501913E-03  -0.858045E+01   0.409408E+00  -0.783110E-06   0.501913E-03  -0.783110E-06   0.117451E-06
