 initial_phi	Omega_de
   0.100000E-09   0.110843E+82
   0.100999E-07   0.113069E+86
   0.200998E-07   0.447808E+86
   0.300997E-07   0.100423E+87
   0.400996E-07   0.178233E+87
   0.500995E-07   0.278211E+87
   0.600994E-07   0.400358E+87
   0.700993E-07   0.544673E+87
   0.800992E-07   0.711156E+87
   0.900991E-07   0.899807E+87
   0.100099E-06   0.111063E+88
   0.110099E-06   0.134361E+88
   0.120099E-06   0.159877E+88
   0.130099E-06   0.187609E+88
   0.140099E-06   0.217558E+88
   0.150099E-06   0.249724E+88
   0.160098E-06   0.284107E+88
   0.170098E-06   0.320707E+88
   0.180098E-06   0.359523E+88
   0.190098E-06   0.400557E+88
   0.200098E-06   0.443807E+88
   0.210098E-06   0.489273E+88
   0.220098E-06   0.536957E+88
   0.230098E-06   0.586858E+88
   0.240098E-06   0.638975E+88
   0.250097E-06   0.693309E+88
   0.260097E-06   0.749860E+88
   0.270097E-06   0.808628E+88
   0.280097E-06   0.869613E+88
   0.290097E-06   0.932814E+88
   0.300097E-06   0.998232E+88
   0.310097E-06   0.106587E+89
   0.320097E-06   0.113572E+89
   0.330097E-06   0.120779E+89
   0.340097E-06   0.128207E+89
   0.350097E-06   0.135858E+89
   0.360096E-06   0.143729E+89
   0.370096E-06   0.151823E+89
   0.380096E-06   0.160138E+89
   0.390096E-06   0.168675E+89
   0.400096E-06   0.177434E+89
   0.410096E-06   0.186414E+89
   0.420096E-06   0.195616E+89
   0.430096E-06   0.205040E+89
   0.440096E-06   0.214685E+89
   0.450096E-06   0.224552E+89
   0.460095E-06   0.234641E+89
   0.470095E-06   0.244951E+89
   0.480095E-06   0.255484E+89
   0.490095E-06   0.266237E+89
   0.500095E-06   0.277213E+89
   0.510095E-06   0.288410E+89
   0.520095E-06   0.299829E+89
   0.530095E-06   0.311469E+89
   0.540095E-06   0.323331E+89
   0.550095E-06   0.335415E+89
   0.560094E-06   0.347721E+89
   0.570094E-06   0.360248E+89
   0.580094E-06   0.372997E+89
   0.590094E-06   0.385968E+89
   0.600094E-06   0.399160E+89
   0.610094E-06   0.412574E+89
   0.620094E-06   0.426209E+89
   0.630094E-06   0.440067E+89
   0.640094E-06   0.454146E+89
   0.650093E-06   0.468446E+89
   0.660093E-06   0.482969E+89
   0.670093E-06   0.497713E+89
   0.680093E-06   0.512679E+89
   0.690093E-06   0.527866E+89
   0.700093E-06   0.543275E+89
   0.710093E-06   0.558906E+89
   0.720093E-06   0.574758E+89
   0.730093E-06   0.590832E+89
   0.740093E-06   0.607128E+89
   0.750092E-06   0.623646E+89
   0.760092E-06   0.640385E+89
   0.770092E-06   0.657346E+89
   0.780092E-06   0.674528E+89
   0.790092E-06   0.691932E+89
   0.800092E-06   0.709558E+89
   0.810092E-06   0.727406E+89
   0.820092E-06   0.745475E+89
   0.830092E-06   0.763766E+89
   0.840092E-06   0.782279E+89
   0.850091E-06   0.801013E+89
   0.860091E-06   0.819969E+89
   0.870091E-06   0.839147E+89
   0.880091E-06   0.858546E+89
   0.890091E-06   0.878167E+89
   0.900091E-06   0.898010E+89
   0.910091E-06   0.918074E+89
   0.920091E-06   0.938360E+89
   0.930091E-06   0.958868E+89
   0.940091E-06   0.979598E+89
   0.950090E-06   0.100055E+90
   0.960090E-06   0.102172E+90
   0.970090E-06   0.104312E+90
   0.980090E-06   0.106473E+90
   0.990090E-06   0.108657E+90
   0.100009E-05   0.110863E+90
   0.101009E-05   0.113091E+90
   0.102009E-05   0.115341E+90
   0.103009E-05   0.117614E+90
   0.104009E-05   0.119908E+90
   0.105009E-05   0.122225E+90
   0.106009E-05   0.124564E+90
   0.107009E-05   0.126925E+90
   0.108009E-05   0.129309E+90
   0.109009E-05   0.131714E+90
   0.110009E-05   0.134142E+90
   0.111009E-05   0.136592E+90
   0.112009E-05   0.139064E+90
   0.113009E-05   0.141558E+90
   0.114009E-05   0.144074E+90
   0.115009E-05   0.146612E+90
   0.116009E-05   0.149173E+90
   0.117009E-05   0.151756E+90
   0.118009E-05   0.154361E+90
   0.119009E-05   0.156988E+90
   0.120009E-05   0.159637E+90
   0.121009E-05   0.162309E+90
   0.122009E-05   0.165002E+90
   0.123009E-05   0.167718E+90
   0.124009E-05   0.170456E+90
   0.125009E-05   0.173216E+90
   0.126009E-05   0.175999E+90
   0.127009E-05   0.178803E+90
   0.128009E-05   0.181630E+90
   0.129009E-05   0.184479E+90
   0.130009E-05   0.187350E+90
   0.131009E-05   0.190243E+90
   0.132009E-05   0.193158E+90
   0.133009E-05   0.196096E+90
   0.134009E-05   0.199055E+90
   0.135009E-05   0.202037E+90
   0.136009E-05   0.205041E+90
   0.137009E-05   0.208067E+90
   0.138009E-05   0.211116E+90
   0.139009E-05   0.214186E+90
   0.140009E-05   0.217279E+90
   0.141009E-05   0.220394E+90
   0.142009E-05   0.223531E+90
   0.143009E-05   0.226690E+90
   0.144009E-05   0.229871E+90
   0.145009E-05   0.233075E+90
   0.146009E-05   0.236301E+90
   0.147009E-05   0.239548E+90
   0.148009E-05   0.242818E+90
   0.149009E-05   0.246111E+90
   0.150008E-05   0.249425E+90
   0.151008E-05   0.252762E+90
   0.152008E-05   0.256120E+90
   0.153008E-05   0.259501E+90
   0.154008E-05   0.262904E+90
   0.155008E-05   0.266329E+90
   0.156008E-05   0.269777E+90
   0.157008E-05   0.273246E+90
   0.158008E-05   0.276738E+90
   0.159008E-05   0.280252E+90
   0.160008E-05   0.283788E+90
   0.161008E-05   0.287346E+90
   0.162008E-05   0.290926E+90
   0.163008E-05   0.294529E+90
   0.164008E-05   0.298154E+90
   0.165008E-05   0.301801E+90
   0.166008E-05   0.305470E+90
   0.167008E-05   0.309161E+90
   0.168008E-05   0.312874E+90
   0.169008E-05   0.316610E+90
   0.170008E-05   0.320368E+90
   0.171008E-05   0.324147E+90
   0.172008E-05   0.327950E+90
   0.173008E-05   0.331774E+90
   0.174008E-05   0.335620E+90
   0.175008E-05   0.339489E+90
   0.176008E-05   0.343379E+90
   0.177008E-05   0.347292E+90
   0.178008E-05   0.351227E+90
   0.179008E-05   0.355185E+90
   0.180008E-05   0.359164E+90
   0.181008E-05   0.363166E+90
   0.182008E-05   0.367189E+90
   0.183008E-05   0.371235E+90
   0.184008E-05   0.375303E+90
   0.185008E-05   0.379394E+90
   0.186008E-05   0.383506E+90
   0.187008E-05   0.387641E+90
   0.188008E-05   0.391797E+90
   0.189008E-05   0.395976E+90
   0.190008E-05   0.400177E+90
   0.191008E-05   0.404401E+90
   0.192008E-05   0.408646E+90
   0.193008E-05   0.412914E+90
   0.194008E-05   0.417203E+90
   0.195008E-05   0.421515E+90
   0.196008E-05   0.425849E+90
   0.197008E-05   0.430206E+90
   0.198008E-05   0.434584E+90
   0.199008E-05   0.438985E+90
   0.200008E-05   0.443407E+90
   0.201008E-05   0.447852E+90
   0.202008E-05   0.452320E+90
   0.203008E-05   0.456809E+90
   0.204008E-05   0.461320E+90
   0.205008E-05   0.465854E+90
   0.206008E-05   0.470410E+90
   0.207008E-05   0.474988E+90
   0.208008E-05   0.479588E+90
   0.209008E-05   0.484210E+90
   0.210008E-05   0.488854E+90
   0.211008E-05   0.493521E+90
   0.212008E-05   0.498210E+90
   0.213008E-05   0.502921E+90
   0.214008E-05   0.507654E+90
   0.215008E-05   0.512409E+90
   0.216008E-05   0.517187E+90
   0.217008E-05   0.521986E+90
   0.218008E-05   0.526808E+90
   0.219008E-05   0.531652E+90
   0.220008E-05   0.536518E+90
   0.221008E-05   0.541406E+90
   0.222008E-05   0.546317E+90
   0.223008E-05   0.551250E+90
   0.224008E-05   0.556204E+90
   0.225008E-05   0.561181E+90
   0.226008E-05   0.566180E+90
   0.227008E-05   0.571202E+90
   0.228008E-05   0.576245E+90
   0.229008E-05   0.581311E+90
   0.230008E-05   0.586399E+90
   0.231008E-05   0.591509E+90
