 initial_phi	Omega_de
   0.100000-119   0.695257E+43
   0.100000-118   0.695292E+43
   0.100000-117   0.554245E+43
   0.100000-116   0.143260E+09
   0.100000-115   0.694565E+44
   0.100000-114   0.695105E+44
   0.100000-113   0.151627E+45
   0.100000-112   0.516914E+12
   0.100000-111   0.551752E+45
   0.100000-110   0.133215E+46
   0.100000-109   0.953134E+45
   0.100000-108   0.348765E+46
   0.100000-107   0.179292E+46
   0.100000-106   0.422382E+46
   0.100000-105   0.138102E+47
   0.100000-104   0.657845E+46
   0.100000-103   0.206923E+47
   0.100000-102   0.972734E+46
   0.100000-101   0.195037E+47
   0.100000-100   0.124618E+47
   0.100000E-99   0.242844E+47
   0.100000E-98   0.147358E+47
   0.100000E-97   0.282782E+47
   0.100000E-96   0.167043E+47
   0.100000E-95   0.317564E+47
   0.100000E-94   0.185307E+47
   0.100000E-93   0.350074E+47
   0.100000E-92   0.203339E+47
   0.100000E-91   0.382429E+47
   0.100000E-90   0.221915E+47
   0.100000E-89   0.105144E+47
   0.100000E-88   0.241538E+47
   0.100000E-87   0.113859E+47
   0.100000E-86   0.231469E+47
   0.100000E-85   0.123290E+47
   0.100000E-84   0.245787E+47
   0.100000E-83   0.133544E+47
   0.100000E-82   0.261980E+47
   0.100000E-81   0.144711E+47
   0.100000E-80   0.280266E+47
   0.100000E-79   0.156874E+47
   0.100000E-78   0.300787E+47
   0.100000E-77   0.170119E+47
   0.100000E-76   0.323661E+47
   0.100000E-75   0.184535E+47
   0.100000E-74   0.349004E+47
   0.100000E-73   0.200218E+47
   0.100000E-72   0.389433E+47
   0.100000E-71   0.245525E+47
   0.100000E-70   0.132071E+47
   0.100000E-69   0.331128E+47
